age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
adult,employed,,tertiary,,not-married,*,*,*,*,positive,0,full-time,United-States,<=50K
older-adult,employed,,tertiary,,married,*,*,*,*,0,0,part-time,United-States,<=50K
adult,employed,,non-tertiary,,not-married,*,*,*,*,0,0,full-time,United-States,<=50K
older-adult,employed,,non-tertiary,,married,*,*,*,*,0,0,full-time,United-States,<=50K
young-adult,employed,,tertiary,,married,*,*,*,*,0,0,full-time,Non-US,<=50K
adult,employed,,tertiary,,married,*,*,*,*,0,0,full-time,United-States,<=50K
older-adult,employed,,non-tertiary,,married,*,*,*,*,0,0,part-time,Non-US,<=50K
older-adult,employed,,non-tertiary,,married,*,*,*,*,0,0,full-time,United-States,>50K
adult,employed,,tertiary,,not-married,*,*,*,*,positive,0,long-hours,United-States,>50K
adult,employed,,tertiary,,married,*,*,*,*,positive,0,full-time,United-States,>50K
adult,employed,,tertiary,,married,*,*,*,*,0,0,long-hours,United-States,>50K
adult,employed,,tertiary,,married,*,*,*,*,0,0,full-time,Non-US,>50K
young-adult,employed,,tertiary,,not-married,*,*,*,*,0,0,part-time,United-States,<=50K
adult,employed,,tertiary,,not-married,*,*,*,*,0,0,long-hours,United-States,<=50K
adult,employed,,tertiary,,married,*,*,*,*,0,0,full-time,unknown-country,>50K
adult,employed,,non-tertiary,,married,*,*,*,*,0,0,full-time,Non-US,<=50K
young-adult,employed,,non-tertiary,,not-married,*,*,*,*,0,0,full-time,United-States,<=50K
adult,employed,,non-tertiary,,not-married,*,*,*,*,0,0,full-time,United-States,<=50K
adult,employed,,non-tertiary,,married,*,*,*,*,0,0,long-hours,United-States,<=50K
adult,employed,,tertiary,,not-married,*,*,*,*,0,0,full-time,United-States,>50K
adult,employed,,tertiary,,married,*,*,*,*,0,0,long-hours,United-States,>50K
older-adult,employed,,non-tertiary,,not-married,*,*,*,*,0,0,part-time,United-States,<=50K
adult,employed,,non-tertiary,,married,*,*,*,*,0,0,full-time,United-States,<=50K
adult,employed,,non-tertiary,,married,*,*,*,*,0,positive,full-time,United-States,<=50K
older-adult,employed,,non-tertiary,,not-married,*,*,*,*,0,0,full-time,United-States,<=50K
older-adult,employed,,tertiary,,married,*,*,*,*,0,0,full-time,United-States,>50K
young-adult,employed,,non-tertiary,,not-married,*,*,*,*,0,0,full-time,United-States,<=50K
