model,k,l,t,suppression_limit,suppression_rate,generalization_loss,total_information_loss,discernibility_penalty,distribution_drift,equivalence_classes,unique_rows,fraction_unique,min_class_size,max_prosecutor_risk,average_equivalence_risk,profile,feasible,sweep
k_l,2,2,,0.00,0.000000,0.916667,0.916667,0.083766,0.000000,24,0,0.000000,45,0.022222,0.000737,age:3; workclass:3; education:3; marital-status:2; occupation:3; relationship:2; race:2; sex:1; hours-per-week:3; native-country:3,True,k_suppression_sweep
k_t,2,,0.2,0.00,0.000000,0.975000,0.975000,0.448701,0.000000,3,0,0.000000,5583,0.000179,0.000092,age:4; workclass:3; education:3; marital-status:3; occupation:3; relationship:2; race:2; sex:1; hours-per-week:3; native-country:3,True,k_suppression_sweep
k_l,5,2,,0.00,0.000000,0.916667,0.916667,0.083766,0.000000,24,0,0.000000,45,0.022222,0.000737,age:3; workclass:3; education:3; marital-status:2; occupation:3; relationship:2; race:2; sex:1; hours-per-week:3; native-country:3,True,k_suppression_sweep
k_t,5,,0.2,0.00,0.000000,0.975000,0.975000,0.448701,0.000000,3,0,0.000000,5583,0.000179,0.000092,age:4; workclass:3; education:3; marital-status:3; occupation:3; relationship:2; race:2; sex:1; hours-per-week:3; native-country:3,True,k_suppression_sweep
k_l,10,2,,0.00,0.000000,0.916667,0.916667,0.083766,0.000000,24,0,0.000000,45,0.022222,0.000737,age:3; workclass:3; education:3; marital-status:2; occupation:3; relationship:2; race:2; sex:1; hours-per-week:3; native-country:3,True,k_suppression_sweep
k_t,10,,0.2,0.00,0.000000,0.975000,0.975000,0.448701,0.000000,3,0,0.000000,5583,0.000179,0.000092,age:4; workclass:3; education:3; marital-status:3; occupation:3; relationship:2; race:2; sex:1; hours-per-week:3; native-country:3,True,k_suppression_sweep
k_l,20,2,,0.00,0.000000,0.916667,0.916667,0.083766,0.000000,24,0,0.000000,45,0.022222,0.000737,age:3; workclass:3; education:3; marital-status:2; occupation:3; relationship:2; race:2; sex:1; hours-per-week:3; native-country:3,True,k_suppression_sweep
k_t,20,,0.2,0.00,0.000000,0.975000,0.975000,0.448701,0.000000,3,0,0.000000,5583,0.000179,0.000092,age:4; workclass:3; education:3; marital-status:3; occupation:3; relationship:2; race:2; sex:1; hours-per-week:3; native-country:3,True,k_suppression_sweep
k_l,50,2,,0.00,0.000000,0.950000,0.950000,0.149251,0.000000,12,0,0.000000,150,0.006667,0.000369,age:3; workclass:3; education:3; marital-status:3; occupation:3; relationship:2; race:2; sex:1; hours-per-week:3; native-country:3,True,k_suppression_sweep
k_t,50,,0.2,0.00,0.000000,0.975000,0.975000,0.448701,0.000000,3,0,0.000000,5583,0.000179,0.000092,age:4; workclass:3; education:3; marital-status:3; occupation:3; relationship:2; race:2; sex:1; hours-per-week:3; native-country:3,True,k_suppression_sweep
k_l,2,2,,0.01,0.000000,0.916667,0.916667,0.083766,0.000000,24,0,0.000000,45,0.022222,0.000737,age:3; workclass:3; education:3; marital-status:2; occupation:3; relationship:2; race:2; sex:1; hours-per-week:3; native-country:3,True,k_suppression_sweep
k_t,2,,0.2,0.01,0.000000,0.975000,0.975000,0.448701,0.000000,3,0,0.000000,5583,0.000179,0.000092,age:4; workclass:3; education:3; marital-status:3; occupation:3; relationship:2; race:2; sex:1; hours-per-week:3; native-country:3,True,k_suppression_sweep
k_l,5,2,,0.01,0.000000,0.916667,0.916667,0.083766,0.000000,24,0,0.000000,45,0.022222,0.000737,age:3; workclass:3; education:3; marital-status:2; occupation:3; relationship:2; race:2; sex:1; hours-per-week:3; native-country:3,True,k_suppression_sweep
k_t,5,,0.2,0.01,0.000000,0.975000,0.975000,0.448701,0.000000,3,0,0.000000,5583,0.000179,0.000092,age:4; workclass:3; education:3; marital-status:3; occupation:3; relationship:2; race:2; sex:1; hours-per-week:3; native-country:3,True,k_suppression_sweep
k_l,10,2,,0.01,0.000000,0.916667,0.916667,0.083766,0.000000,24,0,0.000000,45,0.022222,0.000737,age:3; workclass:3; education:3; marital-status:2; occupation:3; relationship:2; race:2; sex:1; hours-per-week:3; native-country:3,True,k_suppression_sweep
